"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"RESUS","MAJORS","RESUS~MAJORS",8.98305084745763,7,11,0.354268894946861,0.207142857142857,0.444444444444444,0.597608559049237,0.5,0.763888888888889
"RAT","Discharged","RAT~Discharged",8.4,5,11,1,1,1,0.0144480056980057,0,0
"UTC","Admitted","UTC~Admitted",7.10169491525424,4,8,0.00524616626311542,0,0,0.570532428134622,0.363970588235294,0.775
"Arrived","RESUS","Arrived~RESUS",6.91666666666667,5,9,0.249577922077922,0.138392857142857,0.366477272727273,0.470029461279461,0.333333333333333,0.637987012987013
"Meas post arrival","UTC","Meas post arrival~UTC",5.63636363636364,2,7.5,0.893217864007338,0.833333333333333,1,0.0816662425668899,0,0.12406015037594
"TAF","Discharged","TAF~Discharged",5.3728813559322,4,7,1,1,1,0.751035781544256,0.645833333333333,1
"Arrived","UTC","Arrived~UTC",5.23076923076923,2,6,0.940037046287046,0.988636363636364,1,0.0468302530802531,0,0
"DIAGNOSTICS","MAJORS","DIAGNOSTICS~MAJORS",5,1,7,0.871794871794872,0.807692307692308,1,0.538461538461538,0.307692307692308,0.807692307692308
"RAT","RESUS","RAT~RESUS",4.94915254237288,4,6,0.219231051434441,0,0.366666666666667,0.592101401423435,0.414285714285714,0.775
"RAT","TRIAGE Return","RAT~TRIAGE Return",4.81632653061224,2,7,0.892079689018465,0.8,1,0.218440233236152,0,0.4
"TRIAGE","MAJORS","TRIAGE~MAJORS",4.81034482758621,2,6,0.736824179876918,0.551948051948052,1,0.526090322794177,0.308333333333333,0.75
"MAJORS","TAF","MAJORS~TAF",4.64912280701754,3,6,0.962900306321359,1,1,0.815182527024632,0.714285714285714,1
"Meas post arrival","RESUS","Meas post arrival~RESUS",4.47457627118644,3,5.5,0.312469733656174,0,0.436507936507937,0.430979284369115,0.25,0.6
"UTC","TRIAGE","UTC~TRIAGE",4.44827586206897,1,5,0.921264367816092,0.833333333333333,1,0.199904214559387,0,0.25
"TRIAGE","DIAGNOSTICS","TRIAGE~DIAGNOSTICS",4.33333333333333,1.5,6,0.9,0.85,1,0.166666666666667,0,0.25
"TRIAGE Return","Discharged","TRIAGE Return~Discharged",4.12,1.25,6,1,1,1,0.109772005772006,0,0.191666666666667
"MAJORS","RAT","MAJORS~RAT",4.03636363636364,2,5,0.61374852420307,0.354166666666667,1,0.448087367178276,0.225,0.6125
"DIAGNOSTICS","TRIAGE Return","DIAGNOSTICS~TRIAGE Return",4,2.5,5.5,0.928571428571429,0.892857142857143,0.964285714285714,0.785714285714286,0.678571428571429,0.892857142857143
"Meas post arrival","DIAGNOSTICS","Meas post arrival~DIAGNOSTICS",3.7,1,1,0.875,1,1,0.171428571428571,0,0
"DIAGNOSTICS","TRIAGE","DIAGNOSTICS~TRIAGE",3.42857142857143,1,2.5,0.914285714285714,0.866666666666667,1,0.30952380952381,0,0.583333333333333
"TRIAGE","Admitted","TRIAGE~Admitted",3.35849056603774,2,4,0.0345911949685535,0,0,0.371383647798742,0,0.6
"UTC","WAITING ROOM","UTC~WAITING ROOM",3,1,2.5,0.89375,1,1,0.0375,0,0
"WAITING ROOM","TRIAGE Return","WAITING ROOM~TRIAGE Return",2.875,1,2.5,0.989583333333333,1,1,0.145833333333333,0,0.0416666666666667
"TRIAGE Return","UTC","TRIAGE Return~UTC",2.86486486486486,1,3,0.792985842985843,0.75,1,0.488223938223938,0.111111111111111,1
"MAJORS","RESUS","MAJORS~RESUS",2.76363636363636,2,3,0.140606060606061,0,0.291666666666667,0.835454545454545,0.666666666666667,1
"RESUS","Discharged","RESUS~Discharged",2.52830188679245,2,3,1,1,1,0.252380952380952,0,0.333333333333333
"UTC","TRIAGE Return","UTC~TRIAGE Return",2.46666666666667,1,3.75,0.884722222222222,0.90625,1,0.221666666666667,0,0.475
"Meas post arrival","MAJORS","Meas post arrival~MAJORS",2.45833333333333,1,4,0.837847222222222,0.75,1,0.364236111111111,0,0.5
"RAT","Admitted","RAT~Admitted",2.34782608695652,1.25,3,0.0144927536231884,0,0,0.0543478260869565,0,0
"Arrived","DIAGNOSTICS","Arrived~DIAGNOSTICS",2.33333333333333,1.5,3,0.916666666666667,0.875,1,0.416666666666667,0.25,0.625
"UTC","MAJORS","UTC~MAJORS",2.26086956521739,1,3,0.619927536231884,0.333333333333333,1,0.573913043478261,0,1
"Arrived","MAJORS","Arrived~MAJORS",2.14893617021277,1,3,0.671276595744681,0.5,1,0.383333333333333,0,0.583333333333333
"OTF","Discharged","OTF~Discharged",2.12121212121212,1,2,0,0,0,0.850505050505051,1,1
"TRIAGE","RESUS","TRIAGE~RESUS",2.11111111111111,1,3,0.399365079365079,0,0.666666666666667,0.575820105820106,0,1
"Meas pre arrival","Arrived","Meas pre arrival~Arrived",2.08333333333333,1,3,0.328125,0,0.5,0.404513888888889,0,0.666666666666667
"Meas post arrival","OTF","Meas post arrival~OTF",2,2,2,0,0,0,0.5,0.5,0.5
"RAT","Waiting","RAT~Waiting",2,2,2,0.5,0.5,0.5,0,0,0
"Waiting","RAT","Waiting~RAT",2,2,2,0.5,0.5,0.5,0,0,0
"WAITING ROOM","RESUS","WAITING ROOM~RESUS",2,2,2,0.5,0.5,0.5,0.5,0.5,0.5
"MAJORS","UTC","MAJORS~UTC",1.95744680851064,1,2,0.76063829787234,0.5,1,0.294326241134752,0,0.5
"DIAGNOSTICS","UTC","DIAGNOSTICS~UTC",1.88888888888889,1,1,0.888888888888889,1,1,0.347222222222222,0,1
"RAT","TAF","RAT~TAF",1.78571428571429,1,2,0.988095238095238,1,1,0.571428571428571,0,1
"UTC","RAT","UTC~RAT",1.72727272727273,1,2,0.8,0.5,1,0.433333333333333,0,1
"Arrived","OTF","Arrived~OTF",1.5,1.25,1.75,0,0,0,0.75,0.625,0.875
"RAT","DIAGNOSTICS","RAT~DIAGNOSTICS",1.5,1,2,1,1,1,0.25,0,0.375
"TRIAGE","OTF","TRIAGE~OTF",1.44444444444444,1,1,0,0,0,1,1,1
"MAJORS","OTF","MAJORS~OTF",1.44,1,2,0,0,0,0.9,1,1
"UTC","DIAGNOSTICS","UTC~DIAGNOSTICS",1.375,1,1.25,0.875,1,1,0.479166666666667,0,1
"DIAGNOSTICS","Discharged","DIAGNOSTICS~Discharged",1.33333333333333,1,2,1,1,1,0.0416666666666667,0,0
"TRIAGE","WAITING ROOM","TRIAGE~WAITING ROOM",1.33333333333333,1,1.5,1,1,1,0,0,0
"UTC","OTF","UTC~OTF",1.33333333333333,1,2,0,0,0,0.875,1,1
"MAJORS","TRIAGE","MAJORS~TRIAGE",1.30769230769231,1,1,0.782051282051282,0.666666666666667,1,0.397435897435897,0,1
"TRIAGE Return","MAJORS","TRIAGE Return~MAJORS",1.29411764705882,1,1,0.656862745098039,0,1,0.558823529411765,0,1
"RESUS","TRIAGE","RESUS~TRIAGE",1.25,1,1.25,1,1,1,0.5,0,1
"WAITING ROOM","UTC","WAITING ROOM~UTC",1.25,1,1,1,1,1,0.125,0,0
"RESUS","RAT","RESUS~RAT",1.22222222222222,1,1,0.555555555555556,0,1,0.555555555555556,0,1
"Meas post arrival","TAF","Meas post arrival~TAF",1.2,1,1,0.8,1,1,0.6,0,1
"TRIAGE Return","RAT","TRIAGE Return~RAT",1.2,1,1,1,1,1,0.4,0,1
"WAITING ROOM","RAT","WAITING ROOM~RAT",1.2,1,1,0.4,0,1,0.5,0,1
"RAT","WAITING ROOM","RAT~WAITING ROOM",1.11111111111111,1,1,0.555555555555556,0,1,0.444444444444444,0,1
"TAF","MAJORS","TAF~MAJORS",1.1,1,1,0.775,0.875,1,0.875,1,1
"TRIAGE Return","Admitted","TRIAGE Return~Admitted",1.06666666666667,1,1,0.0666666666666667,0,0,0.6,0,1
"Arrived","Admitted","Arrived~Admitted",1,1,1,0,0,0,0,0,0
"Arrived","TAF","Arrived~TAF",1,1,1,1,1,1,0,0,0
"Arrived","WAITING ROOM","Arrived~WAITING ROOM",1,1,1,1,1,1,0,0,0
"DIAGNOSTICS","RAT","DIAGNOSTICS~RAT",1,1,1,0,0,0,1,1,1
"MAJORS","DIAGNOSTICS","MAJORS~DIAGNOSTICS",1,1,1,1,1,1,0.333333333333333,0,0.5
"MAJORS","TRIAGE Return","MAJORS~TRIAGE Return",1,1,1,1,1,1,0.333333333333333,0,1
"MAJORS","WAITING ROOM","MAJORS~WAITING ROOM",1,1,1,0.333333333333333,0,0.5,1,1,1
"Meas post arrival","Admitted","Meas post arrival~Admitted",1,1,1,0,0,0,0,0,0
"Meas post arrival","Arrived","Meas post arrival~Arrived",1,1,1,0,0,0,1,1,1
"Meas pre arrival","Meas post arrival","Meas pre arrival~Meas post arrival",1,1,1,0,0,0,1,1,1
"RAT","OTF","RAT~OTF",1,1,1,0,0,0,1,1,1
"RESUS","TAF","RESUS~TAF",1,1,1,1,1,1,1,1,1
"RESUS","TRIAGE Return","RESUS~TRIAGE Return",1,1,1,1,1,1,0,0,0
"RESUS","UTC","RESUS~UTC",1,1,1,1,1,1,0.5,0,1
"RESUS","Waiting","RESUS~Waiting",1,1,1,0.5,0.25,0.75,0.5,0.25,0.75
"RESUS","WAITING ROOM","RESUS~WAITING ROOM",1,1,1,1,1,1,1,1,1
"TAF","Admitted","TAF~Admitted",1,1,1,0,0,0,1,1,1
"TAF","OTF","TAF~OTF",1,1,1,0,0,0,1,1,1
"TAF","RAT","TAF~RAT",1,1,1,0.714285714285714,0.5,1,0.857142857142857,1,1
"TAF","RESUS","TAF~RESUS",1,1,1,1,1,1,1,1,1
"TAF","TRIAGE","TAF~TRIAGE",1,1,1,1,1,1,0,0,0
"TAF","TRIAGE Return","TAF~TRIAGE Return",1,1,1,1,1,1,1,1,1
"TAF","UTC","TAF~UTC",1,1,1,1,1,1,0,0,0
"TRIAGE","TAF","TRIAGE~TAF",1,1,1,1,1,1,0.6,0,1
"TRIAGE","TRIAGE Return","TRIAGE~TRIAGE Return",1,1,1,0,0,0,0,0,0
"TRIAGE Return","DIAGNOSTICS","TRIAGE Return~DIAGNOSTICS",1,1,1,1,1,1,0,0,0
"TRIAGE Return","OTF","TRIAGE Return~OTF",1,1,1,0,0,0,1,1,1
"UTC","RESUS","UTC~RESUS",1,1,1,0.5,0,1,0.6,0,1
"UTC","TAF","UTC~TAF",1,1,1,1,1,1,0.25,0,0.25
"UTC","Waiting","UTC~Waiting",1,1,1,1,1,1,0,0,0
"Waiting","RESUS","Waiting~RESUS",1,1,1,0.5,0.25,0.75,0.5,0.25,0.75
"Waiting","UTC","Waiting~UTC",1,1,1,1,1,1,0,0,0
"WAITING ROOM","Admitted","WAITING ROOM~Admitted",1,1,1,0,0,0,0.5,0.25,0.75
"WAITING ROOM","Discharged","WAITING ROOM~Discharged",1,1,1,1,1,1,0,0,0
"WAITING ROOM","MAJORS","WAITING ROOM~MAJORS",1,1,1,0.666666666666667,0.5,1,0.666666666666667,0.5,1
"WAITING ROOM","Meas post arrival","WAITING ROOM~Meas post arrival",1,1,1,1,1,1,0,0,0
"WAITING ROOM","OTF","WAITING ROOM~OTF",1,1,1,0,0,0,0,0,0
"WAITING ROOM","TRIAGE","WAITING ROOM~TRIAGE",1,1,1,0.8,1,1,0.4,0,1
