"from","to","edge","weight","pct_disc","pct_breach"
"RAT","WAITING ROOM","RAT~WAITING ROOM",10,0.6,0.4
"UTC","RESUS","UTC~RESUS",10,0.5,0.6
"WAITING ROOM","UTC","WAITING ROOM~UTC",10,1,0.1
"MAJORS","TRIAGE Return","MAJORS~TRIAGE Return",9,1,0.333333333333333
"RAT","DIAGNOSTICS","RAT~DIAGNOSTICS",9,1,0.333333333333333
"DIAGNOSTICS","TRIAGE Return","DIAGNOSTICS~TRIAGE Return",8,0.875,0.625
"Arrived","DIAGNOSTICS","Arrived~DIAGNOSTICS",7,0.857142857142857,0.571428571428571
"TAF","RAT","TAF~RAT",7,0.714285714285714,0.857142857142857
"Meas post arrival","TAF","Meas post arrival~TAF",6,0.833333333333333,0.5
"TRIAGE Return","RAT","TRIAGE Return~RAT",6,1,0.333333333333333
"WAITING ROOM","RAT","WAITING ROOM~RAT",6,0.333333333333333,0.5
"RESUS","TRIAGE","RESUS~TRIAGE",5,1,0.6
"TRIAGE","TAF","TRIAGE~TAF",5,1,0.6
"WAITING ROOM","TRIAGE","WAITING ROOM~TRIAGE",5,0.8,0.4
"RESUS","UTC","RESUS~UTC",4,1,0.5
"TRIAGE","WAITING ROOM","TRIAGE~WAITING ROOM",4,1,0
"UTC","TAF","UTC~TAF",4,1,0.25
"Arrived","OTF","Arrived~OTF",3,0,0.666666666666667
"MAJORS","DIAGNOSTICS","MAJORS~DIAGNOSTICS",3,1,0.333333333333333
"MAJORS","WAITING ROOM","MAJORS~WAITING ROOM",3,0.333333333333333,1
"WAITING ROOM","MAJORS","WAITING ROOM~MAJORS",3,0.666666666666667,0.666666666666667
"Meas post arrival","OTF","Meas post arrival~OTF",2,0,0.5
"RAT","Waiting","RAT~Waiting",2,0.5,0
"RESUS","TAF","RESUS~TAF",2,1,1
"RESUS","Waiting","RESUS~Waiting",2,0.5,0.5
"TAF","Admitted","TAF~Admitted",2,0,1
"TAF","TRIAGE","TAF~TRIAGE",2,1,0
"TAF","UTC","TAF~UTC",2,1,0
"Waiting","RAT","Waiting~RAT",2,0.5,0
"Waiting","RESUS","Waiting~RESUS",2,0.5,0.5
"WAITING ROOM","Admitted","WAITING ROOM~Admitted",2,0,0.5
"WAITING ROOM","RESUS","WAITING ROOM~RESUS",2,0.5,0.5
"Arrived","Admitted","Arrived~Admitted",1,0,0
"Arrived","TAF","Arrived~TAF",1,1,0
"Arrived","WAITING ROOM","Arrived~WAITING ROOM",1,1,0
"DIAGNOSTICS","RAT","DIAGNOSTICS~RAT",1,0,1
"Meas post arrival","Admitted","Meas post arrival~Admitted",1,0,0
"Meas post arrival","Arrived","Meas post arrival~Arrived",1,0,1
"Meas pre arrival","Meas post arrival","Meas pre arrival~Meas post arrival",1,0,1
"RAT","OTF","RAT~OTF",1,0,1
"RESUS","TRIAGE Return","RESUS~TRIAGE Return",1,1,0
"RESUS","WAITING ROOM","RESUS~WAITING ROOM",1,1,1
"TAF","OTF","TAF~OTF",1,0,1
"TAF","RESUS","TAF~RESUS",1,1,1
"TAF","TRIAGE Return","TAF~TRIAGE Return",1,1,1
"TRIAGE","TRIAGE Return","TRIAGE~TRIAGE Return",1,0,0
"TRIAGE Return","DIAGNOSTICS","TRIAGE Return~DIAGNOSTICS",1,1,0
"TRIAGE Return","OTF","TRIAGE Return~OTF",1,0,1
"UTC","Waiting","UTC~Waiting",1,1,0
"Waiting","UTC","Waiting~UTC",1,1,0
"WAITING ROOM","Discharged","WAITING ROOM~Discharged",1,1,0
"WAITING ROOM","Meas post arrival","WAITING ROOM~Meas post arrival",1,1,0
"WAITING ROOM","OTF","WAITING ROOM~OTF",1,0,0
